Intercept, age, I(age ** 2), urban[T.Y], livch[T.1], livch[T.2], livch[T.3+]
1,18.44,340.0336,1,0,0,1
1,-5.5599,30.91248801,1,0,0,0
1,1.44,2.0736,1,0,1,0
1,8.44,71.2336,1,0,0,1
1,-13.559,183.846481,1,0,0,0
1,-11.56,133.6336,1,0,0,0
1,18.44,340.0336,1,0,0,1
1,-3.5599,12.67288801,1,0,0,1
1,-5.5599,30.91248801,1,1,0,0
1,1.44,2.0736,1,0,0,1
1,-11.56,133.6336,1,0,0,0
1,-2.5599,6.55308801,1,0,0,0
1,-4.5599,20.79268801,1,1,0,0
1,5.44,29.5936,1,0,0,1
1,-0.5599,0.31348801,1,0,0,1
1,4.44,19.7136,1,0,0,1
1,-5.5599,30.91248801,1,0,0,0
1,-0.5599,0.31348801,1,0,0,1
1,-6.5599,43.03228801,1,1,0,0
1,-3.56,12.6736,1,0,1,0
1,-4.5599,20.79268801,1,0,0,0
1,-9.5599,91.39168801,1,0,0,0
1,2.44,5.9536,1,0,0,1
1,2.44,5.9536,1,0,1,0
1,-4.5599,20.79268801,1,1,0,0
1,14.44,208.5136,1,0,0,1
1,-6.5599,43.03228801,1,0,0,0
1,-3.5599,12.67288801,1,1,0,0
1,-5.5599,30.91248801,1,1,0,0
1,-1.5599,2.43328801,1,1,0,0
1,-6.5599,43.03228801,1,0,1,0
1,-2.5599,6.55308801,1,0,1,0
1,-7.5599,57.15208801,1,0,1,0
1,9.44,89.1136,1,0,0,0
1,8.44,71.2336,1,0,0,1
1,14.44,208.5136,1,0,0,1
1,8.44,71.2336,1,0,0,1
1,6.44,41.4736,1,0,0,1
1,-3.56,12.6736,1,0,1,0
1,-5.5599,30.91248801,1,0,0,1
1,14.44,208.5136,1,0,0,1
1,2.44,5.9536,1,0,0,1
1,-10.559,111.492481,1,1,0,0
1,5.44,29.5936,1,0,0,1
1,-7.5599,57.15208801,1,1,0,0
1,-4.5599,20.79268801,1,0,1,0
1,-1.5599,2.43328801,1,0,0,1
1,-11.559,133.610481,1,1,0,0
1,1.44,2.0736,1,0,0,1
1,11.44,130.8736,1,0,1,0
1,-12.559,157.728481,1,0,0,0
1,-2.5599,6.55308801,1,0,1,0
1,-3.5599,12.67288801,1,0,0,0
1,-4.5599,20.79268801,1,0,0,0
1,-7.5599,57.15208801,1,0,1,0
1,8.44,71.2336,1,1,0,0
1,-5.5599,30.91248801,1,0,1,0
1,7.44,55.3536,1,0,0,1
1,-6.5599,43.03228801,1,1,0,0
1,-11.56,133.6336,1,0,0,0
1,15.44,238.3936,1,0,0,1
1,-4.5599,20.79268801,1,0,1,0
1,-3.56,12.6736,1,0,1,0
1,11.44,130.8736,0,0,0,1
1,-4.5599,20.79268801,0,0,0,1
1,10.44,108.9936,0,0,0,1
1,4.44,19.7136,0,0,0,1
1,-3.5599,12.67288801,0,0,0,1
1,-12.559,157.728481,0,0,0,0
1,-7.5599,57.15208801,0,0,1,0
1,-13.559,183.846481,0,0,0,0
1,3.44,11.8336,0,0,0,1
1,19.44,377.9136,0,0,1,0
1,-7.5599,57.15208801,0,0,1,0
1,1.44,2.0736,0,0,1,0
1,-4.5599,20.79268801,0,0,0,0
1,-7.5599,57.15208801,0,0,0,0
1,-1.5599,2.43328801,0,0,0,1
1,2.44,5.9536,0,0,0,1
1,8.44,71.2336,0,0,0,1
1,8.44,71.2336,0,0,0,1
1,-9.5599,91.39168801,0,0,0,0
1,8.44,71.2336,0,0,0,1
1,7.44,55.3536,0,0,0,1
1,5.44,29.5936,0,0,0,1
1,2.44,5.9536,0,0,0,1
1,-4.5599,20.79268801,0,0,0,0
1,0.44,0.1936,0,0,0,1
1,11.44,130.8736,0,0,0,1
1,-3.5599,12.67288801,0,0,0,1
1,5.44,29.5936,0,0,0,0
1,-1.5599,2.43328801,0,0,0,1
1,-7.5599,57.15208801,0,0,1,0
1,5.44,29.5936,0,0,0,1
1,6.44,41.4736,0,1,0,0
1,0.44,0.1936,0,0,0,1
1,10.44,108.9936,0,0,0,1
1,7.44,55.3536,0,0,0,1
1,-11.559,133.610481,0,1,0,0
1,10.44,108.9936,0,0,1,0
1,2.44,5.9536,0,0,0,1
1,-3.5599,12.67288801,0,0,1,0
1,0.44,0.1936,0,0,0,1
1,16.44,270.2736,0,0,0,1
1,4.44,19.7136,0,1,0,0
1,12.44,154.7536,0,0,0,1
1,8.44,71.2336,0,0,0,1
1,18.44,340.0336,0,0,0,1
1,-13.559,183.846481,0,0,0,0
1,-11.559,133.610481,0,1,0,0
1,-2.56,6.5536,0,0,0,0
1,-5.5599,30.91248801,0,0,0,0
1,3.44,11.8336,0,0,1,0
1,-1.5599,2.43328801,0,0,0,0
1,3.44,11.8336,0,0,0,1
1,-1.5599,2.43328801,0,0,0,1
1,11.44,130.8736,0,0,1,0
1,-1.5599,2.43328801,0,0,0,1
1,-5.5599,30.91248801,0,0,1,0
1,-13.559,183.846481,0,0,0,0
1,-5.5599,30.91248801,0,0,1,0
1,19.44,377.9136,0,0,0,1
1,1.44,2.0736,0,0,0,1
1,-2.56,6.5536,0,1,0,0
1,6.44,41.4736,0,0,1,0
1,-5.5599,30.91248801,0,0,1,0
1,7.44,55.3536,0,0,0,1
1,1.44,2.0736,0,0,0,1
1,0.44,0.1936,0,0,1,0
1,-11.559,133.610481,0,0,0,0
1,10.44,108.9936,0,0,0,1
1,-7.56,57.1536,0,0,0,0
1,-2.5599,6.55308801,0,0,1,0
1,-13.559,183.846481,0,0,0,0
1,-2.5599,6.55308801,0,0,1,0
1,1.44,2.0736,0,0,1,0
1,-11.559,133.610481,0,1,0,0
1,-3.5599,12.67288801,1,0,0,1
1,-8.5599,73.27188801,1,0,0,0
1,-6.5599,43.03228801,1,1,0,0
1,2.44,5.9536,1,0,0,1
1,-1.5599,2.43328801,1,0,1,0
1,-3.5599,12.67288801,1,0,0,0
1,4.44,19.7136,1,0,0,1
1,7.44,55.3536,1,0,1,0
1,7.44,55.3536,1,0,0,1
1,-0.5599,0.31348801,1,0,0,1
1,-10.559,111.492481,1,1,0,0
1,-3.5599,12.67288801,1,1,0,0
1,2.44,5.9536,1,0,0,1
1,-2.5599,6.55308801,0,0,1,0
1,-4.5599,20.79268801,0,1,0,0
1,-4.5599,20.79268801,0,0,0,0
1,14.44,208.5136,0,0,0,1
1,16.44,270.2736,0,0,0,1
1,6.44,41.4736,0,0,0,1
1,-1.5599,2.43328801,0,0,0,1
1,1.44,2.0736,0,1,0,0
1,2.44,5.9536,0,0,0,1
1,13.44,180.6336,0,0,0,1
1,16.44,270.2736,0,0,0,1
1,-0.5599,0.31348801,0,0,0,1
1,8.44,71.2336,0,0,0,1
1,2.44,5.9536,0,0,0,1
1,-10.559,111.492481,0,0,0,0
1,-1.5599,2.43328801,0,0,1,0
1,-11.559,133.610481,0,1,0,0
1,-9.5599,91.39168801,0,0,1,0
1,-7.5599,57.15208801,0,0,0,0
1,-13.56,183.8736,1,0,0,0
1,2.44,5.9536,1,0,0,1
1,-4.5599,20.79268801,0,1,0,0
1,3.44,11.8336,0,0,0,1
1,-13.559,183.846481,0,0,0,0
1,-4.5599,20.79268801,0,0,1,0
1,-11.559,133.610481,0,0,0,0
1,-11.559,133.610481,0,0,0,0
1,-6.5599,43.03228801,0,1,0,0
1,13.44,180.6336,0,0,0,1
1,-11.559,133.610481,0,0,0,0
1,-10.559,111.492481,0,0,0,0
1,-10.559,111.492481,0,0,0,0
1,16.44,270.2736,0,0,0,1
1,-3.56,12.6736,0,0,0,0
1,-2.5599,6.55308801,0,0,0,1
1,16.44,270.2736,0,0,0,1
1,7.44,55.3536,0,0,0,1
1,-10.559,111.492481,0,0,0,0
1,0.44,0.1936,0,0,0,1
1,6.44,41.4736,0,0,0,1
1,2.44,5.9536,0,0,0,1
1,-9.5599,91.39168801,0,0,0,0
1,-8.56,73.2736,0,0,1,0
1,14.44,208.5136,0,0,0,1
1,1.44,2.0736,0,0,0,1
1,-4.5599,20.79268801,0,0,1,0
1,-4.5599,20.79268801,0,0,0,1
1,-7.5599,57.15208801,0,0,1,0
1,-5.5599,30.91248801,0,0,1,0
1,-8.5599,73.27188801,0,0,0,0
1,-12.56,157.7536,0,0,0,0
1,-1.5599,2.43328801,0,0,0,1
1,-1.5599,2.43328801,0,0,0,1
1,18.44,340.0336,0,0,0,1
1,17.44,304.1536,0,0,1,0
1,-0.5599,0.31348801,0,0,0,1
1,11.44,130.8736,0,0,0,1
1,13.44,180.6336,0,0,0,1
1,-0.5599,0.31348801,1,0,0,0
1,-4.5599,20.79268801,1,1,0,0
1,-0.5599,0.31348801,1,0,0,1
1,11.44,130.8736,1,0,1,0
1,-4.5599,20.79268801,1,0,0,0
1,7.44,55.3536,1,0,0,1
1,4.44,19.7136,1,0,0,1
1,-5.56,30.9136,0,0,1,0
1,13.44,180.6336,0,0,0,1
1,-12.56,157.7536,0,0,0,0
1,12.44,154.7536,0,0,0,1
1,-5.5599,30.91248801,0,0,0,1
1,8.44,71.2336,0,0,0,1
1,-11.559,133.610481,0,0,0,0
1,-0.5599,0.31348801,0,1,0,0
1,-7.56,57.1536,0,1,0,0
1,6.44,41.4736,0,1,0,0
1,4.44,19.7136,0,0,0,1
1,-5.56,30.9136,0,0,1,0
1,-0.5599,0.31348801,0,0,1,0
1,-6.56,43.0336,0,0,0,0
1,0.44,0.1936,0,0,1,0
1,13.44,180.6336,0,0,0,1
1,11.44,130.8736,0,0,0,1
1,1.44,2.0736,0,0,0,0
1,-5.5599,30.91248801,0,1,0,0
1,-6.56,43.0336,0,0,0,0
1,-4.56,20.7936,0,0,1,0
1,-2.5599,6.55308801,0,0,1,0
1,13.44,180.6336,0,0,0,1
1,-9.5599,91.39168801,0,0,0,0
1,-11.559,133.610481,0,0,0,0
1,-8.5599,73.27188801,0,0,0,0
1,-9.5599,91.39168801,0,0,0,0
1,-2.5599,6.55308801,0,0,0,1
1,-10.559,111.492481,0,0,0,0
1,18.44,340.0336,0,0,0,1
1,-7.56,57.1536,0,1,0,0
1,-4.5599,20.79268801,0,1,0,0
1,-9.5599,91.39168801,0,1,0,0
1,-0.56,0.3136,0,0,0,1
1,-8.5599,73.27188801,0,0,0,0
1,8.44,71.2336,0,1,0,0
1,-5.5599,30.91248801,0,1,0,0
1,5.44,29.5936,0,0,1,0
1,-12.56,157.7536,0,0,0,0
1,16.44,270.2736,0,0,0,1
1,8.44,71.2336,0,0,0,1
1,8.44,71.2336,0,0,0,1
1,-4.5599,20.79268801,0,1,0,0
1,-6.56,43.0336,0,0,0,0
1,-2.5599,6.55308801,0,0,1,0
1,18.44,340.0336,0,0,0,1
1,18.44,340.0336,0,0,1,0
1,-0.56,0.3136,0,0,0,1
1,8.44,71.2336,0,0,0,1
1,-8.5599,73.27188801,0,0,0,1
1,-5.5599,30.91248801,0,0,0,1
1,0.44,0.1936,0,0,1,0
1,2.44,5.9536,0,0,0,1
1,-7.56,57.1536,0,1,0,0
1,-2.5599,6.55308801,0,0,0,1
1,15.44,238.3936,0,0,0,1
1,10.44,108.9936,0,0,0,1
1,-7.5599,57.15208801,0,0,0,0
1,1.44,2.0736,0,0,0,1
1,-8.5599,73.27188801,0,1,0,0
1,-7.56,57.1536,0,1,0,0
1,-13.56,183.8736,0,0,0,0
1,-5.5599,30.91248801,0,0,0,1
1,-10.559,111.492481,0,0,0,0
1,3.44,11.8336,0,0,0,1
1,11.44,130.8736,0,0,0,1
1,-7.5599,57.15208801,0,0,0,0
1,-6.56,43.0336,0,1,0,0
1,-0.5599,0.31348801,0,0,0,1
1,2.44,5.9536,0,1,0,0
1,3.44,11.8336,0,0,0,1
1,6.44,41.4736,0,0,0,1
1,-10.559,111.492481,0,1,0,0
1,1.44,2.0736,0,0,1,0
1,-10.559,111.492481,0,0,0,0
1,-8.5599,73.27188801,0,0,0,0
1,-10.559,111.492481,1,0,0,0
1,0.44,0.1936,1,0,1,0
1,19.44,377.9136,0,0,0,0
1,9.44,89.1136,0,0,0,1
1,-4.5599,20.79268801,0,0,1,0
1,-12.56,157.7536,0,0,0,0
1,-5.5599,30.91248801,0,1,0,0
1,11.44,130.8736,0,0,0,1
1,-6.5599,43.03228801,0,1,0,0
1,-11.56,133.6336,0,0,0,0
1,7.44,55.3536,0,0,0,1
1,0.44,0.1936,0,1,0,0
1,1.44,2.0736,0,0,0,1
1,-7.5599,57.15208801,0,1,0,0
1,5.44,29.5936,0,0,0,1
1,2.44,5.9536,0,0,1,0
1,-7.5599,57.15208801,0,1,0,0
1,-1.5599,2.43328801,0,0,0,1
1,-9.5599,91.39168801,0,0,0,0
1,-6.5599,43.03228801,0,1,0,0
1,-7.5599,57.15208801,0,0,0,0
1,19.44,377.9136,0,0,0,1
1,-8.5599,73.27188801,0,0,1,0
1,-6.5599,43.03228801,0,0,1,0
1,19.44,377.9136,0,0,0,1
1,13.44,180.6336,0,0,0,1
1,-9.5599,91.39168801,0,1,0,0
1,-6.5599,43.03228801,0,0,0,0
1,12.44,154.7536,0,0,0,1
1,0.44,0.1936,0,0,1,0
1,16.44,270.2736,0,0,0,1
1,7.44,55.3536,0,1,0,0
1,-13.56,183.8736,0,0,0,0
1,-3.5599,12.67288801,0,1,0,0
1,-6.5599,43.03228801,0,0,0,0
1,-9.5599,91.39168801,0,0,0,0
1,-2.5599,6.55308801,0,0,0,1
1,7.44,55.3536,1,0,0,1
1,-3.5599,12.67288801,1,0,1,0
1,16.44,270.2736,1,0,0,1
1,1.44,2.0736,0,0,1,0
1,-4.5599,20.79268801,0,0,0,1
1,-3.5599,12.67288801,0,0,0,1
1,-9.5599,91.39168801,0,1,0,0
1,-0.5599,0.31348801,0,0,0,1
1,2.44,5.9536,0,0,1,0
1,-11.559,133.610481,0,0,0,0
1,10.44,108.9936,0,0,0,1
1,-5.5599,30.91248801,0,0,1,0
1,-6.56,43.0336,0,1,0,0
1,10.44,108.9936,0,0,0,1
1,-10.559,111.492481,0,0,1,0
1,15.44,238.3936,0,0,0,1
1,-5.5599,30.91248801,0,0,0,1
1,-12.56,157.7536,0,0,0,0
1,-12.56,157.7536,0,0,0,0
1,-8.5599,73.27188801,0,1,0,0
1,-4.5599,20.79268801,0,0,1,0
1,10.44,108.9936,0,0,0,1
1,11.44,130.8736,0,0,0,1
1,18.44,340.0336,0,0,1,0
1,-11.559,133.610481,0,0,0,0
1,-6.5599,43.03228801,0,1,0,0
1,3.44,11.8336,0,0,0,1
1,6.44,41.4736,0,0,0,1
1,13.44,180.6336,0,0,0,0
1,15.44,238.3936,0,0,0,1
1,3.44,11.8336,0,1,0,0
1,15.44,238.3936,0,0,0,1
1,19.44,377.9136,0,0,1,0
1,12.44,154.7536,0,0,0,0
1,-12.559,157.728481,0,0,0,0
1,-9.5599,91.39168801,0,0,0,0
1,-9.5599,91.39168801,0,0,0,0
1,-8.5599,73.27188801,0,0,0,0
1,-5.5599,30.91248801,0,1,0,0
1,18.44,340.0336,0,1,0,0
1,-8.5599,73.27188801,0,0,0,0
1,-9.5599,91.39168801,0,0,0,0
1,-12.559,157.728481,0,0,0,0
1,3.44,11.8336,0,0,0,0
1,-8.5599,73.27188801,0,0,0,0
1,19.44,377.9136,0,0,0,1
1,-3.5599,12.67288801,0,0,0,0
1,-5.5599,30.91248801,0,1,0,0
1,2.44,5.9536,0,1,0,0
1,0.44,0.1936,0,1,0,0
1,-11.559,133.610481,0,0,0,0
1,-2.5599,6.55308801,0,0,1,0
1,2.44,5.9536,0,0,0,1
1,-8.5599,73.27188801,0,1,0,0
1,-8.5599,73.27188801,0,0,0,0
1,-6.56,43.0336,0,0,0,0
1,18.44,340.0336,0,0,0,1
1,9.44,89.1136,1,0,0,1
1,18.44,340.0336,1,0,0,1
1,-5.5599,30.91248801,1,0,1,0
1,4.44,19.7136,1,0,0,0
1,-3.5599,12.67288801,1,0,0,1
1,17.44,304.1536,1,0,0,1
1,9.44,89.1136,0,0,0,1
1,-7.5599,57.15208801,0,1,0,0
1,19.44,377.9136,0,0,0,1
1,6.44,41.4736,0,0,0,1
1,-1.5599,2.43328801,0,0,0,0
1,3.44,11.8336,0,0,0,1
1,-5.5599,30.91248801,0,0,0,0
1,5.44,29.5936,0,0,0,1
1,-11.559,133.610481,0,0,0,0
1,-1.5599,2.43328801,0,0,0,1
1,2.44,5.9536,0,0,0,1
1,-5.5599,30.91248801,0,0,1,0
1,-1.5599,2.43328801,0,1,0,0
1,5.44,29.5936,0,0,0,1
1,18.44,340.0336,0,0,0,1
1,10.44,108.9936,0,0,0,1
1,4.44,19.7136,0,0,0,1
1,3.44,11.8336,0,0,0,1
1,11.44,130.8736,0,0,0,1
1,-2.5599,6.55308801,0,0,1,0
1,-1.5599,2.43328801,0,0,1,0
1,8.44,71.2336,0,0,0,1
1,-4.5599,20.79268801,0,0,0,0
1,10.44,108.9936,1,0,0,1
1,-11.559,133.610481,1,0,0,0
1,6.44,41.4736,1,0,0,1
1,-7.5599,57.15208801,1,0,0,0
1,-12.559,157.728481,1,1,0,0
1,-3.5599,12.67288801,1,1,0,0
1,-8.5599,73.27188801,1,0,0,0
1,-5.5599,30.91248801,1,0,0,0
1,-2.5599,6.55308801,0,0,0,1
1,16.44,270.2736,0,0,0,1
1,0.44,0.1936,0,0,0,1
1,-1.5599,2.43328801,0,0,0,1
1,-2.5599,6.55308801,0,0,0,0
1,15.44,238.3936,0,0,0,1
1,0.44,0.1936,0,1,0,0
1,-7.5599,57.15208801,0,0,1,0
1,10.44,108.9936,0,0,0,0
1,-7.5599,57.15208801,0,0,0,0
1,3.44,11.8336,0,0,0,1
1,0.44,0.1936,0,0,0,1
1,13.44,180.6336,0,0,0,0
1,4.44,19.7136,0,0,0,1
1,12.44,154.7536,0,0,0,1
1,-3.5599,12.67288801,0,1,0,0
1,-9.5599,91.39168801,1,0,0,0
1,-10.559,111.492481,1,0,0,0
1,-10.559,111.492481,1,1,0,0
1,-11.559,133.610481,1,1,0,0
1,-11.559,133.610481,1,0,0,0
1,2.44,5.9536,1,1,0,0
1,7.44,55.3536,1,0,0,0
1,0.44,0.1936,1,0,0,0
1,-3.5599,12.67288801,1,1,0,0
1,-7.5599,57.15208801,1,0,0,0
1,-2.5599,6.55308801,1,0,1,0
1,3.44,11.8336,1,0,0,1
1,3.44,11.8336,1,1,0,0
1,-11.559,133.610481,1,0,0,0
1,-4.5599,20.79268801,1,1,0,0
1,-10.559,111.492481,1,0,0,0
1,12.44,154.7536,1,0,0,1
1,-7.5599,57.15208801,1,1,0,0
1,2.44,5.9536,1,0,0,1
1,-10.559,111.492481,1,0,0,0
1,-10.559,111.492481,1,0,0,0
1,-8.5599,73.27188801,1,0,0,0
1,8.44,71.2336,1,0,0,1
1,-12.559,157.728481,1,0,0,0
1,-6.56,43.0336,1,0,1,0
1,-8.5599,73.27188801,1,0,0,0
1,14.44,208.5136,1,0,0,1
1,16.44,270.2736,1,0,0,1
1,6.44,41.4736,1,0,0,1
1,16.44,270.2736,1,0,0,1
1,-11.559,133.610481,1,0,0,0
1,3.44,11.8336,1,0,0,1
1,-5.5599,30.91248801,1,1,0,0
1,-6.5599,43.03228801,1,0,0,0
1,-2.5599,6.55308801,1,0,1,0
1,-7.5599,57.15208801,1,0,1,0
1,-1.56,2.4336,1,0,0,1
1,2.44,5.9536,1,0,1,0
1,5.44,29.5936,1,0,0,1
1,0.44,0.1936,1,0,0,1
1,9.44,89.1136,1,0,0,1
1,4.44,19.7136,1,0,0,1
1,-13.559,183.846481,1,0,0,0
1,-13.559,183.846481,1,0,0,0
1,6.44,41.4736,1,0,0,1
1,2.44,5.9536,1,0,0,0
1,-8.5599,73.27188801,1,0,0,0
1,12.44,154.7536,1,0,0,1
1,-9.5599,91.39168801,1,0,0,0
1,10.44,108.9936,1,0,0,1
1,-11.559,133.610481,1,0,0,0
1,2.44,5.9536,1,0,0,1
1,-10.559,111.492481,1,0,0,0
1,-8.5599,73.27188801,1,0,0,0
1,2.44,5.9536,1,0,0,1
1,4.44,19.7136,1,0,0,1
1,7.44,55.3536,1,0,0,1
1,-10.559,111.492481,1,1,0,0
1,-6.5599,43.03228801,1,0,0,0
1,3.44,11.8336,1,0,1,0
1,-9.5599,91.39168801,1,0,0,0
1,6.44,41.4736,1,1,0,0
1,-4.5599,20.79268801,1,0,1,0
1,-5.5599,30.91248801,1,1,0,0
1,-8.5599,73.27188801,1,1,0,0
1,0.44,0.1936,1,0,1,0
1,17.44,304.1536,1,0,0,1
1,-7.5599,57.15208801,1,0,1,0
1,14.44,208.5136,1,0,0,1
1,-4.5599,20.79268801,1,1,0,0
1,3.44,11.8336,1,0,1,0
1,-1.5599,2.43328801,1,1,0,0
1,-8.5599,73.27188801,1,1,0,0
1,0.44,0.1936,1,0,0,1
1,-6.5599,43.03228801,1,1,0,0
1,13.44,180.6336,1,0,0,1
1,0.44,0.1936,1,0,0,0
1,7.44,55.3536,1,0,0,1
1,0.44,0.1936,1,0,1,0
1,-1.5599,2.43328801,1,0,0,0
1,-12.559,157.728481,1,0,0,0
1,18.44,340.0336,1,0,1,0
1,7.44,55.3536,1,0,0,1
1,-8.5599,73.27188801,1,0,0,0
1,11.44,130.8736,1,0,0,1
1,13.44,180.6336,1,0,0,1
1,-7.5599,57.15208801,1,1,0,0
1,-10.559,111.492481,1,0,0,0
1,-3.5599,12.67288801,1,1,0,0
1,-7.5599,57.15208801,1,1,0,0
1,-4.5599,20.79268801,1,0,1,0
1,-8.5599,73.27188801,1,0,0,0
1,-2.5599,6.55308801,1,0,1,0
1,-9.5599,91.39168801,1,0,0,0
1,0.44,0.1936,1,0,0,0
1,-5.5599,30.91248801,1,0,0,0
1,-3.5599,12.67288801,1,0,0,0
1,-10.559,111.492481,1,1,0,0
1,0.44,0.1936,1,0,1,0
1,8.44,71.2336,1,0,0,1
1,4.44,19.7136,1,0,1,0
1,2.44,5.9536,0,1,0,0
1,-5.5599,30.91248801,0,1,0,0
1,-6.5599,43.03228801,0,0,1,0
1,6.44,41.4736,0,0,1,0
1,-7.5599,57.15208801,0,1,0,0
1,-1.5599,2.43328801,0,1,0,0
1,-3.5599,12.67288801,0,0,0,1
1,10.44,108.9936,0,0,0,1
1,18.44,340.0336,0,0,0,1
1,-12.559,157.728481,0,0,0,0
1,17.44,304.1536,0,0,0,1
1,-5.5599,30.91248801,0,0,0,1
1,-12.559,157.728481,0,0,0,0
1,-10.56,111.5136,0,0,0,0
1,0.44,0.1936,0,0,0,1
1,-8.5599,73.27188801,0,1,0,0
1,17.44,304.1536,0,0,0,1
1,14.44,208.5136,1,0,0,1
1,-13.559,183.846481,1,0,0,0
1,1.44,2.0736,1,0,0,1
1,2.44,5.9536,1,0,0,1
1,-0.5599,0.31348801,1,0,0,1
1,19.44,377.9136,1,0,0,1
1,0.44,0.1936,1,1,0,0
1,-4.5599,20.79268801,1,0,0,0
1,-3.5599,12.67288801,0,0,1,0
1,-9.5599,91.39168801,0,0,0,0
1,10.44,108.9936,0,0,1,0
1,4.44,19.7136,0,1,0,0
1,8.44,71.2336,0,0,0,1
1,-5.5599,30.91248801,0,1,0,0
1,-2.5599,6.55308801,0,0,0,0
1,-7.56,57.1536,0,0,0,0
1,-12.559,157.728481,0,0,0,0
1,-4.5599,20.79268801,0,1,0,0
1,-8.5599,73.27188801,0,1,0,0
1,-10.559,111.492481,0,0,0,0
1,-2.5599,6.55308801,0,0,1,0
1,-5.5599,30.91248801,0,1,0,0
1,-0.5599,0.31348801,1,0,1,0
1,-9.5599,91.39168801,1,0,0,0
1,-12.56,157.7536,0,0,0,0
1,-12.56,157.7536,0,0,0,0
1,-10.559,111.492481,0,0,0,0
1,-12.56,157.7536,0,0,0,0
1,-8.5599,73.27188801,0,0,0,0
1,4.44,19.7136,0,0,1,0
1,17.44,304.1536,0,0,1,0
1,8.44,71.2336,0,0,1,0
1,4.44,19.7136,0,0,0,1
1,-10.559,111.492481,0,1,0,0
1,-10.559,111.492481,0,0,0,0
1,-13.559,183.846481,0,0,0,0
1,0.44,0.1936,0,1,0,0
1,10.44,108.9936,0,0,0,1
1,-12.56,157.7536,0,0,0,0
1,18.44,340.0336,0,0,1,0
1,-10.559,111.492481,0,0,0,0
1,-6.5599,43.03228801,0,1,0,0
1,-11.559,133.610481,0,0,0,0
1,-12.559,157.728481,0,0,0,0
1,-0.5599,0.31348801,0,0,0,1
1,4.44,19.7136,0,0,0,1
1,5.44,29.5936,0,0,0,1
1,-7.5599,57.15208801,0,1,0,0
1,-5.5599,30.91248801,0,1,0,0
1,15.44,238.3936,0,0,0,1
1,-4.5599,20.79268801,0,0,0,0
1,-12.559,157.728481,0,0,0,0
1,-5.5599,30.91248801,0,0,0,1
1,-2.5599,6.55308801,0,0,1,0
1,-12.559,157.728481,0,0,0,0
1,1.44,2.0736,0,0,0,0
1,7.44,55.3536,0,0,0,1
1,9.44,89.1136,0,0,0,1
1,-2.5599,6.55308801,0,0,0,1
1,-2.5599,6.55308801,0,0,0,1
1,0.44,0.1936,0,0,0,1
1,-0.5599,0.31348801,0,0,1,0
1,-5.5599,30.91248801,0,0,0,1
1,0.44,0.1936,0,0,0,1
1,11.44,130.8736,0,0,0,1
1,9.44,89.1136,0,0,0,1
1,-1.56,2.4336,1,0,0,0
1,-5.5599,30.91248801,1,1,0,0
1,1.44,2.0736,1,0,1,0
1,-1.5599,2.43328801,1,0,1,0
1,-9.5599,91.39168801,1,0,0,0
1,2.44,5.9536,1,0,0,1
1,-7.5599,57.15208801,1,0,0,0
1,-11.559,133.610481,1,0,0,0
1,0.44,0.1936,1,0,1,0
1,15.44,238.3936,1,0,0,1
1,-7.5599,57.15208801,1,0,0,0
1,-8.5599,73.27188801,1,0,0,0
1,-9.5599,91.39168801,1,0,0,0
1,8.44,71.2336,1,0,0,1
1,-12.559,157.728481,0,0,0,0
1,-6.5599,43.03228801,0,1,0,0
1,-10.559,111.492481,0,0,0,0
1,-8.5599,73.27188801,0,1,0,0
